Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Country,Release_Date,Localized_Title,Censorship_Rating
Goodfellas,1990,"Biography, Crime, Drama",146 min,8.7,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",Jersey,2011-05-20,,Unrated
Dangal,2016,,161 min,8.4,,Azerbaijan,2005-05-18,,NC-17
The Warriors,1979,"Action, Crime, Thriller",92 min,7.6,"In the near future, a charismatic leader summons the street gangs of New York City in a bid to take it over. When he is killed, The Warriors are falsely blamed and now must fight their way home while every other gang is hunting them down.",Guinea-Bissau,1998-04-04,Operative hybrid policy,R
Philomena,2013,"Biography, Comedy, Drama",98 min,7.6,"A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent.",Chile,2005-05-09,,PG-13
Short Cuts,1993,"Comedy, Drama",188 min,7.7,The day-to-day lives of several suburban Los Angeles residents.,Malaysia,2001-01-08,Phased human-resource migration,G
Zerkalo,1975,"Biography, Drama",107 min,8.1,"A dying man in his forties remembers his past. His childhood, his mother, the war, personal moments and things that tell of the recent history of all the Russian nation.",Guinea-Bissau,1995-12-27,Robust optimal artificial intelligence,PG-13
Babam ve Oglum,2005,"Drama, Family",112 min,8.3,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,Uruguay,2022-04-21,,G
Baahubali 2: The Conclusion,2017,"Action, Drama",167 min,8.2,"When Shiva, the son of Bahubali, learns about his heritage, he begins to look for answers. His story is juxtaposed with past events that unfolded in the Mahishmati Kingdom.",Eritrea,,,
Tôkyô goddofâzâzu,2003,"Animation, Adventure, Comedy",90 min,7.8,"On Christmas Eve, three homeless people living on the streets of Tokyo discover a newborn baby among the trash and set out to find its parents.",Japan,1999-11-18,Distributed exuding benchmark,R
Room,2015,"Drama, Thriller",118 min,8.1,"Held captive for 7 years in an enclosed space, a woman and her young son finally gain their freedom, allowing the boy to experience the outside world for the first time.",Puerto Rico,,,Unrated
L.A. Confidential,1997,"Crime, Drama, Mystery",138 min,8.2,"As corruption grows in 1950s Los Angeles, three policemen - one strait-laced, one brutal, and one sleazy - investigate a series of murders with their own brand of justice.",Vietnam,2017-11-27,,PG-13
Veer-Zaara,2004,"Drama, Family, Musical",192 min,7.8,"Veer-Zaara is a saga of love, separation, courage and sacrifice. A love story that is an inspiration and will remain a legend forever.",Kuwait,2019-11-22,,Unrated
Heat,1995,"Crime, Drama, Thriller",170 min,8.2,A group of professional bank robbers start to feel the heat from police when they unknowingly leave a clue at their latest heist.,United Arab Emirates,2004-01-09,,G
I Am Sam,2001,Drama,132 min,7.7,A mentally handicapped man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family.,Barbados,2025-02-16,,Unrated
Cowboy Bebop: Tengoku no tobira,2001,"Animation, Action, Crime",115 min,7.9,"A terrorist explosion releases a deadly virus on the masses, and it's up the bounty-hunting Bebop crew to catch the cold-blooded culprit.",Tanzania,2004-12-15,Operative value-added ability,NC-17
Star Trek Into Darkness,2013,,132 min,7.7,"After the crew of the Enterprise find an unstoppable force of terror from within their own organization, Captain Kirk leads a manhunt to a war-zone world to capture a one-man weapon of mass destruction.",Yemen,2024-11-05,,PG-13
Lost Highway,1997,"Mystery, Thriller",134 min,7.6,"Anonymous videotapes presage a musician's murder conviction, and a gangster's girlfriend leads a mechanic astray.",Lebanon,2000-01-30,,G
Inception,2010,"Action, Adventure, Sci-Fi",148 min,8.8,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,Saudi Arabia,2015-08-08,,Unrated
Bãhubali: The Beginning,2015,"Action, Drama",159 min,8.0,"In ancient India, an adventurous and daring man becomes involved in a decades-old feud between two warring peoples.",Croatia,2010-06-17,Fully-configurable maximized core,PG
Persepolis,2007,"Animation, Biography, Drama",96 min,8.0,,Montenegro,1996-12-22,Synchronized bifurcated concept,R
Mission: Impossible - Fallout,2018,"Action, Adventure, Thriller",147 min,7.7,,,2018-11-02,,Unrated
Serbuan maut,2011,"Action, Thriller",,7.6,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,Senegal,2004-08-09,De-engineered user-facing architecture,Unrated
The Ladykillers,1955,"Comedy, Crime",91 min,7.7,Five oddball criminals planning a bank robbery rent rooms on a cul-de-sac from an octogenarian widow under the pretext that they are classical musicians.,Honduras,2015-06-06,Fully-configurable empowering productivity,PG-13
Philomena,2013,"Biography, Comedy, Drama",98 min,7.6,"A world-weary political journalist picks up the story of a woman's search for her son, who was taken away from her decades ago after she became pregnant and was forced to live in a convent.",India,2021-03-07,,G
Bridge of Spies,2015,"Drama, History, Thriller",142 min,7.6,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",Turks and Caicos Islands,,Adaptive client-driven superstructure,PG
The Departed,2006,"Crime, Drama, Thriller",151 min,8.5,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Croatia,2016-09-05,,PG
Rocky,1976,"Drama, Sport",120 min,8.1,A small-time boxer gets a supremely rare chance to fight a heavy-weight champion in a bout in which he strives to go the distance for his self-respect.,Macao,2024-07-14,Profit-focused optimizing extranet,PG
Wind River,2017,"Crime, Drama, Mystery",107 min,7.7,A veteran hunter helps an FBI agent investigate the murder of a young woman on a Wyoming Native American reservation.,Montenegro,2014-02-08,,R
The Fall,2006,"Adventure, Drama, Fantasy",117 min,7.9,"In a hospital on the outskirts of 1920s Los Angeles, an injured stuntman begins to tell a fellow patient, a little girl with a broken arm, a fantastic story of five mythical heroes. Thanks to his fractured state of mind and her vivid imagination, the line between fiction and reality blurs as the tale advances.",French Southern Territories,1999-09-09,Assimilated neutral emulation,Unrated
Baby,2015,"Action, Crime, Thriller",159 min,8.0,"An elite counter-intelligence unit learns of a plot, masterminded by a maniacal madman. With the clock ticking, it's up to them to track the terrorists' international tentacles and prevent them from striking at the heart of India.",Guatemala,,,PG
Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Family, Fantasy",142 min,7.9,,Afghanistan,2017-11-10,,NC-17
Finding Neverland,2004,"Biography, Drama, Family",106 min,7.6,The story of Sir J.M. Barrie's friendship with a family who inspired him to create Peter Pan.,Cook Islands,2016-08-29,Self-enabling multimedia emulation,PG-13
City Lights,1931,"Comedy, Drama, Romance",87 min,8.5,"With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",United Arab Emirates,2007-02-28,,PG-13
Million Dollar Baby,2004,"Drama, Sport",132 min,8.1,A determined woman works with a hardened boxing trainer to become a professional.,Panama,2005-05-17,Innovative 5thgeneration contingency,NC-17
Mission: Impossible - Fallout,2018,"Action, Adventure, Thriller",147 min,7.7,"Ethan Hunt and his IMF team, along with some familiar allies, race against time after a mission gone wrong.",Afghanistan,2019-09-10,,PG-13
Guardians of the Galaxy,2014,"Action, Adventure, Comedy",121 min,8.0,A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,Kyrgyz Republic,2009-01-11,,NC-17
Full Metal Jacket,1987,"Drama, War",116 min,8.3,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Slovakia (Slovak Republic),2017-04-14,,NC-17
Gangs of Wasseypur,2012,"Action, Comedy, Crime",321 min,8.2,"A clash between Sultan and Shahid Khan leads to the expulsion of Khan from Wasseypur, and ignites a deadly blood feud spanning three generations.",Tonga,2011-03-31,,PG
American Psycho,2000,"Comedy, Crime, Drama",101 min,7.6,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",New Zealand,2016-01-13,,NC-17
The Right Stuff,1983,"Adventure, Biography, Drama",193 min,7.8,"The story of the original Mercury 7 astronauts and their macho, seat-of-the-pants approach to the space program.",Syrian Arab Republic,1997-06-03,,R
True Grit,2010,"Drama, Western",110 min,7.6,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,Central African Republic,2015-01-28,Managed discrete forecast,Unrated
A Bronx Tale,1993,"Crime, Drama, Romance",121 min,7.8,A father becomes worried when a local gangster befriends his son in the Bronx in the 1960s.,Sierra Leone,2001-03-23,Progressive multi-tasking capability,NC-17
The Right Stuff,1983,"Adventure, Biography, Drama",193 min,7.8,"The story of the original Mercury 7 astronauts and their macho, seat-of-the-pants approach to the space program.",Montserrat,2011-03-20,,PG
Salinui chueok,2003,"Crime, Drama, Mystery",131 min,,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.",Myanmar,2009-01-27,,PG-13
The Warriors,1979,"Action, Crime, Thriller",92 min,7.6,"In the near future, a charismatic leader summons the street gangs of New York City in a bid to take it over. When he is killed, The Warriors are falsely blamed and now must fight their way home while every other gang is hunting them down.",,2020-09-03,,G
Atonement,2007,"Drama, Mystery, Romance",123 min,7.8,Thirteen-year-old fledgling writer Briony Tallis irrevocably changes the course of several lives when she accuses her older sister's lover of a crime he did not commit.,Sri Lanka,2013-04-22,,PG-13
Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Family, Fantasy",,7.9,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",Hong Kong,2020-09-14,,G
Forushande,2016,Drama,124 min,7.8,"While both participating in a production of ""Death of a Salesman,"" a teacher's wife is assaulted in her new home, which leaves him determined to find the perpetrator over his wife's traumatized objections.",Faroe Islands,2007-07-21,,PG
Kahaani,2012,"Mystery, Thriller",,8.1,"A pregnant woman's search for her missing husband takes her from London to Kolkata, but everyone she questions denies having ever met him.",Latvia,2002-04-01,,R
Birdman or (The Unexpected Virtue of Ignorance),2014,"Comedy, Drama",119 min,7.7,"A washed-up superhero actor attempts to revive his fading career by writing, directing, and starring in a Broadway production.",Netherlands,2009-04-30,,Unrated
The Night of the Hunter,1955,"Crime, Drama, Film-Noir",92 min,8.0,"A religious fanatic marries a gullible widow whose young children are reluctant to tell him where their real daddy hid the $10,000 he'd stolen in a robbery.",Japan,2015-11-04,,PG
Empire of the Sun,1987,"Action, Drama, History",153 min,7.7,A young English boy struggles to survive under Japanese occupation during World War II.,Rwanda,2001-08-24,,PG
Schindler's List,1993,"Biography, Drama, History",195 min,,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.",Ethiopia,2004-08-26,Diverse fault-tolerant workforce,G
Kis Uykusu,2014,Drama,196 min,8.1,A hotel owner and landlord in a remote Turkish village deals with conflicts within his family and a tenant behind on his rent.,Guinea-Bissau,2004-05-22,,PG
What Ever Happened to Baby Jane?,1962,"Drama, Horror, Thriller",134 min,8.1,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,Peru,2019-02-23,,G
The Machinist,2004,"Drama, Thriller",101 min,7.7,An industrial worker who hasn't slept in a year begins to doubt his own sanity.,Macao,1996-10-02,Profit-focused dedicated workforce,PG
Midnight Express,1978,"Biography, Crime, Drama",121 min,7.6,"Billy Hayes, an American college student, is caught smuggling drugs out of Turkey and thrown into prison.",Brunei Darussalam,2020-03-20,Seamless web-enabled adapter,NC-17
Key Largo,1948,"Action, Crime, Drama",100 min,7.8,"A man visits his war buddy's family hotel and finds a gangster running things. As a hurricane approaches, the two end up confronting each other.",Equatorial Guinea,1995-09-15,Configurable asymmetric core,NC-17
Dogville,2003,"Crime, Drama",178 min,8.0,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.",France,2021-03-22,,R
The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama",,8.9,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,Taiwan,2001-01-27,,R
Persepolis,2007,"Animation, Biography, Drama",96 min,8.0,A precocious and outspoken Iranian girl grows up during the Islamic Revolution.,Peru,1999-11-13,,PG
The Intouchables,2011,"Biography, Comedy, Drama",,8.5,"After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",Palau,1995-10-08,Persevering real-time data-warehouse,PG-13
American Gangster,2007,"Biography, Crime, Drama",,7.8,"An outcast New York City cop is charged with bringing down Harlem drug lord Frank Lucas, whose real life inspired this partly biographical film.",Poland,1999-03-06,,Unrated
Udaan,2010,Drama,134 min,8.2,"Expelled from his school, a 16-year old boy returns home to his abusive and oppressive father.",Vietnam,2023-07-29,,G
Sling Blade,1996,Drama,135 min,8.0,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",Cambodia,2002-07-03,,PG-13
Inception,2010,"Action, Adventure, Sci-Fi",148 min,8.8,,Angola,2016-09-20,Progressive executive interface,PG-13
Chak De! India,2007,"Drama, Family, Sport",153 min,8.2,Kabir Khan is the coach of the Indian Women's National Hockey Team and his dream is to make his all girls team emerge victorious against all odds.,Bouvet Island (Bouvetoya),2012-11-16,,PG-13
Sing Street,2016,"Comedy, Drama, Music",106 min,7.9,A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.,Ukraine,2006-06-15,Upgradable client-driven budgetary management,PG-13
12 Angry Men,1957,"Crime, Drama",96 min,9.0,A jury holdout attempts to prevent a miscarriage of justice by forcing his colleagues to reconsider the evidence.,Mayotte,2014-12-31,,NC-17
Green Book,2018,"Biography, Comedy, Drama",130 min,8.2,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,Barbados,2006-07-17,,PG
The Fifth Element,1997,"Action, Adventure, Sci-Fi",126 min,7.7,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.",Grenada,2014-12-20,Sharable content-based contingency,NC-17
Glory,1989,,122 min,7.8,"Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.",Mozambique,1997-02-08,,NC-17
Mou gaan dou,2002,"Action, Crime, Drama",101 min,,"A story between a mole in the police department and an undercover cop. Their objectives are the same: to find out who is the mole, and who is the cop.",Lesotho,2024-01-16,,PG
Straight Outta Compton,2015,"Biography, Drama, History",147 min,7.8,"The rap group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.",Rwanda,2020-04-12,,G
50/50,2011,"Comedy, Drama, Romance",100 min,7.6,"Inspired by a true story, a comedy centered on a 27-year-old guy who learns of his cancer diagnosis and his subsequent struggle to beat the disease.",India,1999-09-20,,Unrated
A Streetcar Named Desire,1951,Drama,122 min,8.0,Disturbed Blanche DuBois moves in with her sister in New Orleans and is tormented by her brutish brother-in-law while her reality crumbles around her.,Guam,2014-07-31,,Unrated
Klaus,2019,"Animation, Adventure, Comedy",96 min,8.2,"A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliver a sleigh full of holiday traditions.",Philippines,1995-08-17,Decentralized interactive utilization,R
The Secret of Kells,2009,"Animation, Adventure, Family",71 min,7.6,"A young boy in a remote medieval outpost under siege from barbarian raids is beckoned to adventure when a celebrated master illuminator arrives with an ancient book, brimming with secret wisdom and powers.",Japan,2003-11-02,,R
What Ever Happened to Baby Jane?,1962,"Drama, Horror, Thriller",134 min,8.1,A former child star torments her paraplegic sister in their decaying Hollywood mansion.,Nigeria,1996-02-27,,PG-13
Hunt for the Wilderpeople,2016,"Adventure, Comedy, Drama",101 min,7.9,A national manhunt is ordered for a rebellious kid and his foster uncle who go missing in the wild New Zealand bush.,Fiji,2009-01-09,,PG
Slumdog Millionaire,2008,"Drama, Romance",120 min,8.0,,Albania,2001-09-26,,Unrated
Carlito's Way,1993,"Crime, Drama, Thriller",144 min,7.9,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",Lithuania,2016-01-16,,PG-13
Being John Malkovich,1999,"Comedy, Drama, Fantasy",113 min,7.7,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.,Bouvet Island (Bouvetoya),2001-12-01,,PG
Mary Poppins,1964,"Comedy, Family, Fantasy",139 min,7.8,"In turn of the century London, a magical nanny employs music and adventure to help two neglected children become closer to their father.",South Africa,2015-02-12,,PG
La montaña sagrada,1973,"Adventure, Drama, Fantasy",114 min,7.9,"In a corrupt, greed-fueled world, a powerful alchemist leads a messianic character and seven materialistic figures to the Holy Mountain, where they hope to achieve enlightenment.",Oman,2019-03-01,,NC-17
G.O.R.A.,2004,"Adventure, Comedy, Sci-Fi",127 min,8.0,,Mexico,2010-08-26,,G
Once Upon a Time in the West,1968,Western,165 min,8.5,A mysterious stranger with a harmonica joins forces with a notorious desperado to protect a beautiful widow from a ruthless assassin working for the railroad.,Iran,2020-07-20,,R
Kimi no na wa.,2016,"Animation, Drama, Fantasy",106 min,8.4,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?",United States of America,2013-04-17,Universal eco-centric encoding,PG
Miller's Crossing,1990,"Crime, Drama, Thriller",115 min,7.7,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.",France,1996-02-12,,PG-13
Ang-ma-reul bo-at-da,2010,"Action, Crime, Drama",144 min,7.8,A secret agent exacts revenge on a serial killer through a series of captures and releases.,South Georgia and the South Sandwich Islands,2012-08-22,Up-sized motivating open system,PG-13
Airlift,2016,"Drama, History",130 min,8.0,"When Iraq invades Kuwait in August 1990, a callous Indian businessman becomes the spokesperson for more than 170,000 stranded countrymen.",Australia,2018-06-08,,Unrated
Sabrina,1954,"Comedy, Drama, Romance",113 min,7.7,"A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her.",French Polynesia,2022-04-23,,G
Lola rennt,1998,"Crime, Drama, Thriller",81 min,7.6,"After a botched money delivery, Lola has 20 minutes to come up with 100,000 Deutschmarks.",Martinique,2024-03-18,,Unrated
Dallas Buyers Club,2013,,117 min,8.0,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",Guernsey,1996-02-11,Devolved modular paradigm,R
A Little Princess,1995,"Drama, Family, Fantasy",97 min,7.7,,,2014-08-26,,PG-13
K.G.F: Chapter 1,2018,"Action, Drama",156 min,8.2,,Jamaica,2014-09-17,Fully-configurable cohesive customer loyalty,PG
The Great Escape,1963,"Adventure, Drama, History",172 min,8.2,Allied prisoners of war plan for several hundred of their number to escape from a German camp during World War II.,Cayman Islands,2007-11-05,Automated mobile neural-net,Unrated
La Vie En Rose,2007,"Biography, Drama, Music",140 min,7.6,"Biopic of the iconic French singer Édith Piaf. Raised by her grandmother in a brothel, she was discovered while singing on a street corner at the age of 19. Despite her success, Piaf's life was filled with tragedy.",Ireland,2017-06-27,,G
Monty Python and the Holy Grail,1975,"Adventure, Comedy, Fantasy",91 min,8.2,"King Arthur and his Knights of the Round Table embark on a surreal, low-budget search for the Holy Grail, encountering many, very silly obstacles.",Montserrat,2013-03-26,,R
Sherlock Jr.,1924,"Action, Comedy, Romance",45 min,8.2,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.",Brunei Darussalam,2013-12-07,,Unrated
Bajrangi Bhaijaan,2015,"Action, Adventure, Comedy",163 min,,An Indian man with a magnanimous heart takes a young mute Pakistani girl back to her homeland to reunite her with her family.,Cuba,2017-09-12,Distributed even-keeled collaboration,
Full Metal Jacket,1987,"Drama, War",116 min,8.3,A pragmatic U.S. Marine observes the dehumanizing effects the Vietnam War has on his fellow recruits from their brutal boot camp training to the bloody street fighting in Hue.,Germany,2002-02-19,Face-to-face encompassing Internet solution,PG
The Princess Bride,1987,"Adventure, Family, Fantasy",98 min,,"While home sick in bed, a young boy's grandfather reads him the story of a farmboy-turned-pirate who encounters numerous obstacles, enemies and allies in his quest to be reunited with his true love.",Netherlands,1999-10-29,,Unrated
K.G.F: Chapter 1,2018,"Action, Drama",156 min,,"In the 1970s, a fierce rebel rises against brutal oppression and becomes the symbol of hope to legions of downtrodden people.",Pitcairn Islands,1995-07-18,Object-based uniform open system,R
Pink,2016,"Drama, Thriller",136 min,8.1,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",Turks and Caicos Islands,2001-11-12,,PG
It Happened One Night,1934,"Comedy, Romance",105 min,8.1,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.",Timor-Leste,2001-08-24,,G
Frankenstein,1931,"Drama, Horror, Sci-Fi",70 min,7.8,,Zambia,2014-05-28,,NC-17
Who Framed Roger Rabbit,1988,"Animation, Adventure, Comedy",104 min,,A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.,Venezuela,2016-01-08,,NC-17
From Here to Eternity,1953,"Drama, Romance, War",118 min,7.6,"In Hawaii in 1941, a private is cruelly punished for not boxing on his unit's team, while his captain's wife and second-in-command are falling in love.",Syrian Arab Republic,2024-11-26,,PG-13
The Innocents,1961,Horror,100 min,7.8,A young governess for two children becomes convinced that the house and grounds are haunted.,Gambia,2000-04-17,,
Me and Earl and the Dying Girl,2015,"Comedy, Drama",105 min,7.7,"High schooler Greg, who spends most of his time making parodies of classic movies with his co-worker Earl, finds his outlook forever altered after befriending a classmate who has just been diagnosed with cancer.",Niue,2021-10-21,,NC-17
Aladdin,1992,"Animation, Adventure, Comedy",,8.0,A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,Guadeloupe,2000-02-06,,PG-13
Dilwale Dulhania Le Jayenge,1995,"Drama, Romance",189 min,8.1,"When Raj meets Simran in Europe, it isn't love at first sight but when Simran moves to India for an arranged marriage, love makes its presence felt.",United Kingdom,1995-04-21,,R
Shaun of the Dead,2004,"Comedy, Horror",99 min,7.9,A man's uneventful life is disrupted by the zombie apocalypse.,Costa Rica,2020-11-11,,PG
La Vie En Rose,2007,"Biography, Drama, Music",140 min,7.6,"Biopic of the iconic French singer Édith Piaf. Raised by her grandmother in a brothel, she was discovered while singing on a street corner at the age of 19. Despite her success, Piaf's life was filled with tragedy.",Mauritius,2011-04-17,,PG-13
Bridge of Spies,2015,"Drama, History, Thriller",142 min,7.6,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.",Gibraltar,2007-11-08,,G
Call Me by Your Name,2017,"Drama, Romance",132 min,7.9,"In 1980s Italy, romance blossoms between a seventeen-year-old student and the older man hired as his father's research assistant.",Belize,1996-02-08,Synchronized radical artificial intelligence,Unrated
Glory,1989,"Biography, Drama, History",122 min,7.8,"Robert Gould Shaw leads the U.S. Civil War's first all-black volunteer company, fighting prejudices from both his own Union Army, and the Confederates.",China,2011-06-08,,Unrated
Tenkû no shiro Rapyuta,1986,"Animation, Adventure, Drama",125 min,8.0,A young boy and a girl with a magic crystal must race against pirates and foreign agents in a search for a legendary floating castle.,Sweden,2015-04-11,Polarized fault-tolerant product,NC-17
Witness for the Prosecution,1957,"Crime, Drama, Mystery",116 min,8.4,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,Japan,1995-04-15,,PG
Boyz n the Hood,1991,"Crime, Drama",112 min,7.8,"Follows the lives of three young males living in the Crenshaw ghetto of Los Angeles, dissecting questions of race, relationships, violence, and future prospects.",Belgium,2000-01-05,,R
Peeping Tom,1960,"Drama, Horror, Thriller",101 min,7.7,"A young man murders women, using a movie camera to film their dying expressions of terror.",Switzerland,,,PG-13
Hiroshima mon amour,1959,"Drama, Romance",90 min,7.9,,Italy,2005-03-19,,Unrated
After Hours,1985,,97 min,7.7,An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho who he met that evening at a coffee shop.,Libyan Arab Jamahiriya,2013-12-02,,PG-13
Flipped,2010,"Comedy, Drama, Romance",90 min,7.7,Two eighth-graders start to have feelings for each other despite being total opposites.,Jordan,2009-11-19,Upgradable 6thgeneration ability,PG-13
Tumbbad,2018,"Drama, Fantasy, Horror",104 min,8.3,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,Sao Tome and Principe,2019-10-26,,NC-17
Lucky Number Slevin,2006,"Action, Crime, Drama",110 min,7.7,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him.",Libyan Arab Jamahiriya,2012-03-19,,PG-13
