Series_Title,Released_Year,Genre,Runtime,IMDB_Rating,Overview,Available_On,Subscription_Required,Release_Date,Price
La vie d'Adèle,2013,"Drama, Romance",180 min,7.7,"Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss.",,False,,1.31
When Harry Met Sally...,1989,,95 min,7.6,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.",Netflix,,2017-10-12,
Psycho,1960,"Horror, Mystery, Thriller",,8.5,"A Phoenix secretary embezzles $40,000 from her employer's client, goes on the run, and checks into a remote motel run by a young man under the domination of his mother.",Amazon Prime,True,2021-08-01,15.89
Hell or High Water,2016,"Action, Crime, Drama",102 min,,A divorced father and his ex-con older brother resort to a desperate scheme in order to save their family's ranch in West Texas.,HBO Max,True,2015-07-12,
The Dark Knight,2008,"Action, Crime, Drama",,9.0,"When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.",Disney+,,2017-08-12,0.0
Night of the Living Dead,1968,"Horror, Thriller",96 min,7.9,A ragtag group of Pennsylvanians barricade themselves in an old farmhouse to remain safe from a horde of flesh-eating ghouls that are ravaging the East Coast of the United States.,Disney+,False,2018-11-08,0.0
Dev.D,2009,"Drama, Romance",144 min,8.0,"After breaking up with his childhood sweetheart, a young man finds solace in drugs. Meanwhile, a teenage girl is caught in the world of prostitution. Will they be destroyed, or will they find redemption?",,,,0.0
True Grit,2010,"Drama, Western",110 min,7.6,A stubborn teenager enlists the help of a tough U.S. Marshal to track down her father's murderer.,Hulu,False,,
All the President's Men,1976,"Biography, Drama, History",138 min,7.9,"""The Washington Post"" reporters Bob Woodward and Carl Bernstein uncover the details of the Watergate scandal that leads to President Richard Nixon's resignation.",Amazon Prime,True,2018-08-19,0.0
The Perks of Being a Wallflower,2012,"Drama, Romance",103 min,8.0,An introvert freshman is taken under the wings of two seniors who welcome him to the real world,,True,2023-02-06,0.0
A Hard Day's Night,1964,"Comedy, Music, Musical",87 min,7.6,"Over two ""typical"" days in the life of The Beatles, the boys struggle to keep themselves and Sir Paul McCartney's mischievous grandfather in check while preparing for a live television performance.",Netflix,False,2017-10-29,0.0
The Artist,2011,"Comedy, Drama, Romance",100 min,7.9,An egomaniacal film star develops a relationship with a young dancer against the backdrop of Hollywood's silent era.,HBO Max,False,,0.0
Hidden Figures,2016,"Biography, Drama, History",,7.8,The story of a team of female African-American mathematicians who served a vital role in NASA during the early years of the U.S. space program.,Netflix,False,2017-01-27,
Joker,2019,"Crime, Drama, Thriller",,8.5,,Disney+,False,2018-02-04,0.0
Shichinin no samurai,1954,,207 min,8.6,A poor village under attack by bandits recruits seven unemployed samurai to help them defend themselves.,Netflix,True,2023-10-11,17.45
Into the Wild,2007,"Adventure, Biography, Drama",148 min,8.1,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska to live in the wilderness. Along the way, Christopher encounters a series of characters that shape his life.",,False,2021-07-16,19.36
Die Hard: With a Vengeance,1995,"Action, Adventure, Thriller",128 min,7.6,"John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building.",,True,2015-08-14,4.18
To Be or Not to Be,1942,"Comedy, War",99 min,8.2,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.",Disney+,False,2019-05-03,0.0
Wonder,2017,"Drama, Family",113 min,8.0,,HBO Max,True,2017-11-02,0.0
The Godfather: Part II,1974,"Crime, Drama",202 min,9.0,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.",,,2022-09-25,0.0
Relatos salvajes,2014,"Comedy, Drama, Thriller",,8.1,Six short stories that explore the extremities of human behavior involving people in distress.,HBO Max,False,2023-08-20,0.0
Almost Famous,2000,"Adventure, Comedy, Drama",122 min,,A high-school boy is given the chance to write a story for Rolling Stone Magazine about an up-and-coming rock band as he accompanies them on their concert tour.,Hulu,,2024-10-22,0.0
"South Park: Bigger, Longer & Uncut",1999,"Animation, Comedy, Fantasy",,7.7,"When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame.",,False,2022-12-18,12.89
Le salaire de la peur,1953,"Adventure, Drama, Thriller",,8.1,"In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.",Netflix,False,2017-06-17,
Star Wars: Episode VI - Return of the Jedi,1983,"Action, Adventure, Fantasy",131 min,8.3,"After a daring mission to rescue Han Solo from Jabba the Hutt, the Rebels dispatch to Endor to destroy the second Death Star. Meanwhile, Luke struggles to help Darth Vader back from the dark side without falling into the Emperor's trap.",,False,2024-06-18,0.0
Doctor Zhivago,1965,"Drama, Romance, War",197 min,8.0,"The life of a Russian physician and poet who, although married to another, falls in love with a political activist's wife and experiences hardship during World War I and then the October Revolution.",HBO Max,True,2019-09-11,0.0
Tengoku to jigoku,1963,"Crime, Drama, Mystery",143 min,,An executive of a shoe company becomes a victim of extortion when his chauffeur's son is kidnapped and held for ransom.,Disney+,False,2018-09-09,
1917,2019,,119 min,8.3,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.",Netflix,False,2021-12-03,0.0
Solaris,1972,"Drama, Mystery, Sci-Fi",167 min,8.1,A psychologist is sent to a station orbiting a distant planet in order to discover what has caused the crew to go insane.,Disney+,,,0.0
Sunset Blvd.,1950,"Drama, Film-Noir",110 min,8.4,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,HBO Max,False,2015-08-06,
Kelly's Heroes,1970,,144 min,7.6,A group of U.S. soldiers sneaks across enemy lines to get their hands on a secret stash of Nazi treasure.,Disney+,False,2018-09-14,0.0
Adaptation.,2002,,,,A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.,Hulu,True,2020-09-24,0.0
Creed,2015,"Drama, Sport",133 min,7.6,"The former World Heavyweight Champion Rocky Balboa serves as a trainer and mentor to Adonis Johnson, the son of his late friend and former rival Apollo Creed.",,,,11.67
Scent of a Woman,1992,Drama,,8.0,"A prep school student needing money agrees to ""babysit"" a blind man, but the job is not at all what he anticipated.",HBO Max,False,2025-02-27,0.0
Togo,2019,"Adventure, Biography, Drama",113 min,8.0,"The story of Togo, the sled dog who led the 1925 serum run yet was considered by most to be too small and weak to lead such an intense race.",,False,2016-04-19,0.0
Once Were Warriors,1994,"Crime, Drama",102 min,7.9,A family descended from Maori warriors is bedeviled by a violent father and the societal problems of being treated as outcasts.,Disney+,True,2015-06-23,0.0
The Visitor,2007,,104 min,7.6,A college professor travels to New York City to attend a conference and finds a young couple living in his apartment.,Amazon Prime,,,7.91
Gone Baby Gone,2007,"Crime, Drama, Mystery",114 min,7.6,"Two Boston area detectives investigate a little girl's kidnapping, which ultimately turns into a crisis both professionally and personally.",Hulu,False,2015-08-26,0.0
The Lord of the Rings: The Return of the King,2003,"Action, Adventure, Drama",201 min,,,Disney+,,,11.42
The Fault in Our Stars,2014,"Drama, Romance",,7.7,Two teenage cancer patients begin a life-affirming journey to visit a reclusive author in Amsterdam.,HBO Max,False,,7.48
Manbiki kazoku,2018,"Crime, Drama",121 min,7.9,A family of small-time crooks take in a child they find outside in the cold.,Disney+,False,2016-11-25,0.0
Requiem for a Dream,2000,Drama,102 min,8.3,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Amazon Prime,False,2022-10-27,0.0
Dead Poets Society,1989,"Comedy, Drama",128 min,8.1,,Netflix,,,0.0
The Avengers,2012,"Action, Adventure, Sci-Fi",143 min,8.0,Earth's mightiest heroes must come together and learn to fight as a team if they are going to stop the mischievous Loki and his alien army from enslaving humanity.,Disney+,False,2023-05-06,0.0
Rebel Without a Cause,1955,Drama,111 min,7.7,"A rebellious young man with a troubled past comes to a new town, finding friends and enemies.",,False,,0.0
Interstate 60: Episodes of the Road,2002,"Adventure, Comedy, Drama",116 min,7.7,"Neal Oliver, a very confused young man and an artist, takes a journey of a lifetime on a highway I60 that doesn't exist on any of the maps, going to the places he never even heard of, searching for an answer and his dreamgirl.",,True,2019-11-10,
Dogville,2003,,,8.0,"A woman on the run from the mob is reluctantly accepted in a small Colorado community in exchange for labor, but when a search visits the town she finds out that their support has a price.",Amazon Prime,True,2021-02-16,0.0
Pride & Prejudice,2005,"Drama, Romance",129 min,,"Sparks fly when spirited Elizabeth Bennet meets single, rich, and proud Mr. Darcy. But Mr. Darcy reluctantly finds himself falling in love with a woman beneath his class. Can each overcome their own pride and prejudice?",Netflix,False,2024-12-23,0.0
Vizontele,2001,"Comedy, Drama",110 min,,Lives of residents in a small Anatolian village change when television is introduced to them,,True,,0.0
Jab We Met,2007,"Comedy, Drama, Romance",138 min,7.9,,Disney+,False,2016-07-20,
North by Northwest,1959,"Adventure, Mystery, Thriller",136 min,8.3,A New York City advertising executive goes on the run after being mistaken for a government agent by a group of foreign spies.,,False,,0.0
Serbuan maut,2011,"Action, Thriller",101 min,7.6,A S.W.A.T. team becomes trapped in a tenement run by a ruthless mobster and his army of killers and thugs.,Netflix,,2018-02-10,6.34
The Truman Show,1998,"Comedy, Drama",,8.1,An insurance salesman discovers his whole life is actually a reality TV show.,Disney+,True,2023-11-23,0.0
Carlito's Way,1993,"Crime, Drama, Thriller",,7.9,"A Puerto Rican former convict, just released from prison, pledges to stay away from drugs and violence despite the pressure around him and lead on to a better life outside of N.Y.C.",,True,,0.0
Fight Club,1999,,139 min,,,Hulu,True,2019-07-13,0.0
Pink,2016,"Drama, Thriller",,8.1,"When three young women are implicated in a crime, a retired lawyer steps forward to help them clear their names.",,False,2020-06-05,0.0
The Girl with the Dragon Tattoo,2011,"Crime, Drama, Mystery",158 min,7.8,"Journalist Mikael Blomkvist is aided in his search for a woman who has been missing for forty years by Lisbeth Salander, a young computer hacker.",,False,,0.0
Rear Window,1954,,112 min,8.4,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,Netflix,,2018-06-12,0.0
Coraline,2009,"Animation, Drama, Family",100 min,7.7,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.",Netflix,False,2019-05-17,10.25
Pride,2014,"Biography, Comedy, Drama",119 min,7.8,U.K. gay activists work to help miners during their lengthy strike of the National Union of Mineworkers in the summer of 1984.,Amazon Prime,False,2023-12-19,0.0
"O Brother, Where Art Thou?",2000,"Adventure, Comedy, Crime",107 min,,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.",Disney+,False,2015-04-18,18.52
Salinui chueok,2003,"Crime, Drama, Mystery",131 min,,,Disney+,False,2018-04-05,0.0
Andrei Rublev,1966,"Biography, Drama, History",205 min,8.1,"The life, times and afflictions of the fifteenth-century Russian iconographer St. Andrei Rublev.",,True,2015-10-18,0.0
Ôkami kodomo no Ame to Yuki,2012,"Animation, Drama, Fantasy",117 min,8.1,"After her werewolf lover unexpectedly dies in an accident while hunting for food for their children, a young woman must find ways to raise the werewolf son and daughter that she had with him while keeping their trait hidden from society.",Hulu,True,2020-09-01,0.0
Duck Soup,1933,,,7.8,Rufus T. Firefly is named president/dictator of bankrupt Freedonia and declares war on neighboring Sylvania over the love of wealthy Mrs. Teasdale.,Netflix,True,2017-05-09,0.0
Dallas Buyers Club,2013,"Biography, Drama",117 min,8.0,"In 1985 Dallas, electrician and hustler Ron Woodroof works around the system to help AIDS patients get the medication they need after he is diagnosed with the disease.",,False,2020-07-22,0.0
Kind Hearts and Coronets,1949,"Comedy, Crime",,8.0,A distant poor relative of the Duke D'Ascoyne plots to inherit the title by murdering the eight other heirs who stand ahead of him in the line of succession.,Amazon Prime,True,2016-06-22,0.0
Okuribito,2008,"Drama, Music",130 min,8.1,A newly unemployed cellist takes a job preparing the dead for funerals.,Netflix,True,2015-11-25,0.0
Enemy at the Gates,2001,"Drama, History, War",131 min,7.6,A Russian and a German sniper play a game of cat-and-mouse during the Battle of Stalingrad.,HBO Max,False,2019-10-20,13.66
Y tu mamá también,2001,Drama,106 min,7.6,"In Mexico, two teenage boys and an attractive older woman embark on a road trip and learn a thing or two about life, friendship, sex, and each other.",,True,2022-08-06,0.0
Vampire Hunter D: Bloodlust,2000,"Animation, Action, Fantasy",103 min,7.7,"When a girl is abducted by a vampire, a legendary bounty hunter is hired to bring her back.",HBO Max,,2016-11-20,19.95
Les choristes,2004,"Drama, Music",97 min,,The new teacher at a severely administered boys' boarding school works to positively affect the students' lives through music.,Amazon Prime,False,2017-08-13,15.04
Dil Bechara,2020,"Comedy, Drama, Romance",101 min,7.9,"The emotional journey of two hopelessly in love youngsters, a young girl, Kizie, suffering from cancer, and a boy, Manny, whom she meets at a support group.",,False,,18.24
The Bourne Ultimatum,2007,,115 min,,Jason Bourne dodges a ruthless C.I.A. official and his Agents from a new assassination program while searching for the origins of his life as a trained killer.,Disney+,False,,0.0
"I, Daniel Blake",2016,,100 min,,"After having suffered a heart-attack, a 59-year-old carpenter must fight the bureaucratic forces of the system in order to receive Employment and Support Allowance.",,False,2021-11-13,0.0
Jeux d'enfants,2003,"Comedy, Drama, Romance",93 min,,"As adults, best friends Julien and Sophie continue the odd game they started as children -- a fearless competition to outdo one another with daring and outrageous stunts. While they often act out to relieve one another's pain, their game might be a way to avoid the fact that they are truly meant for one another.",Amazon Prime,,2022-08-22,15.65
Who's Afraid of Virginia Woolf?,1966,Drama,131 min,,"A bitter, aging couple, with the help of alcohol, use their young houseguests to fuel anguish and emotional pain towards each other over the course of a distressing night.",Disney+,False,2015-06-30,0.0
Schindler's List,1993,"Biography, Drama, History",195 min,8.9,,,False,2020-07-09,0.0
Batman Begins,2005,"Action, Adventure",140 min,8.2,"After training with his mentor, Batman begins his fight to free crime-ridden Gotham City from corruption.",,True,2022-12-13,0.0
Harold and Maude,1971,"Comedy, Drama, Romance",91 min,7.9,"Young, rich, and obsessed with death, Harold finds himself changed forever when he meets lively septuagenarian Maude at a funeral.",HBO Max,True,2015-12-19,0.0
Sweet Smell of Success,1957,"Drama, Film-Noir",96 min,8.0,Powerful but unethical Broadway columnist J.J. Hunsecker coerces unscrupulous press agent Sidney Falco into breaking up his sister's romance with a jazz musician.,,True,2022-07-05,0.0
Edge of Tomorrow,2014,"Action, Adventure, Sci-Fi",,,"A soldier fighting aliens gets to relive the same day over and over again, the day restarting every time he dies.",Hulu,True,2015-07-12,0.0
Fiddler on the Roof,1971,"Drama, Family, Musical",181 min,8.0,"In prerevolutionary Russia, a Jewish peasant contends with marrying off three of his daughters while growing anti-Semitic sentiment threatens his village.",Hulu,False,2019-02-06,2.98
The Machinist,2004,"Drama, Thriller",,7.7,,,True,2023-02-01,
Blow,2001,"Biography, Crime, Drama",124 min,7.6,"The story of how George Jung, along with the Medellín Cartel headed by Pablo Escobar, established the American cocaine market in the 1970s in the United States.",,False,2015-11-29,0.0
Gully Boy,2019,"Drama, Music, Romance",154 min,8.0,A coming-of-age story based on the lives of street rappers in Mumbai.,Disney+,True,2024-07-12,
Paddington 2,2017,"Adventure, Comedy, Family",103 min,,"Paddington (Ben Whishaw), now happily settled with the Brown family and a popular member of the local community, picks up a series of odd jobs to buy the perfect present for his Aunt Lucy's (Imelda Staunton's) 100th birthday, only for the gift to be stolen.",HBO Max,True,2023-08-02,0.0
Mysterious Skin,2004,Drama,105 min,7.6,"A teenage hustler and a young man obsessed with alien abductions cross paths, together discovering a horrible, liberating truth.",Disney+,,2020-04-15,15.14
Freaks,1932,"Drama, Horror",64 min,7.9,"A circus' beautiful trapeze artist agrees to marry the leader of side-show performers, but his deformed friends discover she is only marrying him for his inheritance.",,True,2019-09-20,9.22
English Vinglish,2012,"Comedy, Drama, Family",134 min,7.8,"A quiet, sweet tempered housewife endures small slights from her well-educated husband and daughter every day because of her inability to speak and understand English.",,,2018-05-24,6.26
This Is Spinal Tap,1984,"Comedy, Music",82 min,7.9,"Spinal Tap, one of England's loudest bands, is chronicled by film director Marty DiBergi on what proves to be a fateful tour.",Disney+,True,2024-02-13,0.0
Under sandet,2015,"Drama, History, War",100 min,7.8,"In post-World War II Denmark, a group of young German POWs are forced to clear a beach of thousands of land mines under the watch of a Danish Sergeant who slowly learns to appreciate their plight.",Disney+,,2018-03-18,13.95
The Innocents,1961,Horror,100 min,7.8,A young governess for two children becomes convinced that the house and grounds are haunted.,Hulu,False,2019-09-23,0.0
In a Lonely Place,1950,"Drama, Film-Noir, Mystery",94 min,8.0,,HBO Max,False,2022-01-21,0.0
Laura,1944,"Drama, Film-Noir, Mystery",88 min,8.0,,Amazon Prime,False,2015-11-24,0.0
Hachi: A Dog's Tale,2009,"Biography, Drama, Family",93 min,8.1,,Disney+,False,2016-04-29,0.0
My Name Is Khan,2010,,,8.0,An Indian Muslim man with Asperger's syndrome takes a challenge to speak to the President of the United States seriously and embarks on a cross-country journey.,Netflix,False,2022-05-03,
Omoide no Mânî,2014,"Animation, Drama, Family",103 min,7.7,"Due to 12 y.o. Anna's asthma, she's sent to stay with relatives of her guardian in the Japanese countryside. She likes to be alone, sketching. She befriends Marnie. Who is the mysterious, blonde Marnie.",Netflix,False,2015-11-12,0.0
Hacksaw Ridge,2016,"Biography, Drama, History",139 min,8.1,,HBO Max,False,2016-04-17,0.19
Witness for the Prosecution,1957,"Crime, Drama, Mystery",116 min,8.4,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,Disney+,True,2016-10-24,16.68
Chak De! India,2007,,153 min,8.2,Kabir Khan is the coach of the Indian Women's National Hockey Team and his dream is to make his all girls team emerge victorious against all odds.,,True,2015-06-28,0.0
Le notti di Cabiria,1957,Drama,110 min,8.1,A waifish prostitute wanders the streets of Rome looking for true love but finds only heartbreak.,Amazon Prime,True,2018-03-01,
The Curious Case of Benjamin Button,2008,"Drama, Fantasy, Romance",166 min,,,,True,2016-04-16,0.0
The Bourne Supremacy,2004,"Action, Mystery, Thriller",108 min,,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.",Amazon Prime,True,,0.0
Harry Potter and the Prisoner of Azkaban,2004,"Adventure, Family, Fantasy",142 min,7.9,"Harry Potter, Ron and Hermione return to Hogwarts School of Witchcraft and Wizardry for their third year of study, where they delve into the mystery surrounding an escaped prisoner who poses a dangerous threat to the young wizard.",Netflix,True,2019-04-21,10.75
Bohemian Rhapsody,2018,"Biography, Drama, Music",134 min,8.0,,Netflix,True,2018-01-26,0.0
Un prophète,2009,"Crime, Drama",155 min,7.9,,,,2017-12-02,0.0
To Have and Have Not,1944,"Adventure, Comedy, Film-Noir",100 min,7.8,"During World War II, American expatriate Harry Morgan helps transport a French Resistance leader and his beautiful wife to Martinique while romancing a sensuous lounge singer.",Netflix,True,,18.43
Talvar,2015,,132 min,8.2,An experienced investigator confronts several conflicting theories about the perpetrators of a violent double homicide.,Netflix,True,2024-06-19,0.0
My Fair Lady,1964,,170 min,7.8,Snobbish phonetics Professor Henry Higgins agrees to a wager that he can make flower girl Eliza Doolittle presentable in high society.,Disney+,False,2022-09-28,6.6
The Shop Around the Corner,1940,"Comedy, Drama, Romance",99 min,,"Two employees at a gift shop can barely stand each other, without realizing that they are falling in love through the post as each other's anonymous pen pal.",,True,,0.0
Deadpool 2,2018,"Action, Adventure, Comedy",119 min,,"Foul-mouthed mutant mercenary Wade Wilson (a.k.a. Deadpool), brings together a team of fellow mutant rogues to protect a young boy with supernatural abilities from the brutal, time-traveling cyborg Cable.",Netflix,True,,0.0
Veer-Zaara,2004,"Drama, Family, Musical",,7.8,"Veer-Zaara is a saga of love, separation, courage and sacrifice. A love story that is an inspiration and will remain a legend forever.",Amazon Prime,False,,0.0
The Shawshank Redemption,1994,Drama,142 min,9.3,"Two imprisoned men bond over a number of years, finding solace and eventual redemption through acts of common decency.",,,2024-05-28,19.59
It Happened One Night,1934,"Comedy, Romance",105 min,,"A renegade reporter and a crazy young heiress meet on a bus heading for New York, and end up stuck with each other when the bus leaves them behind at one of the stops.",Hulu,True,2024-04-15,0.0
Jules et Jim,1962,"Drama, Romance",105 min,7.8,Decades of a love triangle concerning two friends and an impulsive woman.,,False,2022-08-10,0.0
Charade,1963,,113 min,7.9,Romance and suspense ensue in Paris as a woman is pursued by several men who want a fortune her murdered husband had stolen. Whom can she trust?,HBO Max,False,2018-02-24,0.0
The Day the Earth Stood Still,1951,"Drama, Sci-Fi",92 min,7.7,An alien lands and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets.,Amazon Prime,True,2015-07-30,0.0
The Blues Brothers,1980,"Action, Adventure, Comedy",133 min,7.9,"Jake Blues, just released from prison, puts together his old band to save the Catholic home where he and his brother Elwood were raised.",HBO Max,False,,0.0
Star Wars: Episode VII - The Force Awakens,2015,"Action, Adventure, Sci-Fi",138 min,7.9,"As a new threat to the galaxy rises, Rey, a desert scavenger, and Finn, an ex-stormtrooper, must join Han Solo and Chewbacca to search for the one hope of restoring peace.",,False,2018-09-01,0.0
Rain Man,1988,,133 min,8.0,Selfish yuppie Charlie Babbitt's father left a fortune to his savant brother Raymond and a pittance to Charlie; they travel cross-country.,Hulu,,2023-09-22,0.0
Ran,1985,"Action, Drama, War",162 min,8.2,"In Medieval Japan, an elderly warlord retires, handing over his empire to his three sons. However, he vastly underestimates how the new-found power will corrupt them and cause them to turn on each other...and him.",,True,2021-03-26,
M - Eine Stadt sucht einen Mörder,1931,"Crime, Mystery, Thriller",117 min,8.3,,Netflix,True,2020-11-26,0.0
Kôkaku Kidôtai,1995,"Animation, Action, Crime",83 min,8.0,,,True,2016-01-19,0.0
Sleuth,1972,"Mystery, Thriller",138 min,8.0,"A man who loves games and theater invites his wife's lover to meet him, setting up a battle of wits with potentially deadly results.",Hulu,,2023-08-20,0.0
The Ten Commandments,1956,"Adventure, Drama",220 min,7.9,"Moses, an Egyptian Prince, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people.",,False,2025-02-09,0.0
A Star Is Born,2018,"Drama, Music, Romance",136 min,7.6,A musician helps a young singer find fame as age and alcoholism send his own career into a downward spiral.,Disney+,False,2025-01-11,
Incendies,2010,"Drama, Mystery, War",,,,Amazon Prime,,2023-09-19,0.0
Boksuneun naui geot,2002,"Crime, Drama, Thriller",129 min,7.6,"A recently laid off factory worker kidnaps his former boss' friend's daughter, hoping to use the ransom money to pay for his sister's kidney transplant.",HBO Max,False,2020-09-09,0.0
Yôjinbô,1961,"Action, Drama, Thriller",110 min,,,,True,2017-08-31,5.67
Fanny och Alexander,1982,Drama,188 min,,"Two young Swedish children experience the many comedies and tragedies of their family, the Ekdahls.",Disney+,True,2016-01-03,0.0
Leviafan,2014,"Crime, Drama",140 min,7.6,"In a Russian coastal town, Kolya is forced to fight the corrupt mayor when he is told that his house will be demolished. He recruits a lawyer friend to help, but the man's arrival brings further misfortune for Kolya and his family.",,False,2018-03-26,0.0
Memento,2000,"Mystery, Thriller",113 min,8.4,A man with short-term memory loss attempts to track down his wife's murderer.,Hulu,False,2024-08-30,0.0
La battaglia di Algeri,1966,,,8.1,"In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.",HBO Max,True,2018-02-14,0.0
Green Book,2018,"Biography, Comedy, Drama",130 min,8.2,A working-class Italian-American bouncer becomes the driver of an African-American classical pianist on a tour of venues through the 1960s American South.,Hulu,False,2024-06-19,0.0
Ben-Hur,1959,,212 min,8.1,"After a Jewish prince is betrayed and sent into slavery by a Roman friend, he regains his freedom and comes back for revenge.",HBO Max,,2021-03-25,0.0
Butch Cassidy and the Sundance Kid,1969,,110 min,8.0,"Wyoming, early 1900s. Butch Cassidy and The Sundance Kid are the leaders of a band of outlaws. After a train robbery goes wrong they find themselves on the run with a posse hard on their heels. Their solution - escape to Bolivia.",Hulu,True,2019-12-25,8.21
